Title,Artist,Genre,Review,Song link
Who's Next/Lifehouse [Super Deluxe Edition] ,The Who ,Pop/Rock ,"An 11-disc set offering a deep, multi-dimensional immersion into the Who at the very peak of their creative powers.",https://www.allmusic.com/album/release/whos-next-lifehouse-super-deluxe-edition--mr0006082143
The Land Is Inhospitable and So Are We ,Mitski ,Pop/Rock ,"In a sharp left turn, our indie anti-heroine follows the quasi-synth pop Laurel Hell with a quasi-country set that still can't find peace with love.  - Marcy Donelson",https://www.allmusic.com/album/the-land-is-inhospitable-and-so-are-we-mw0004054104
GUTS ,Olivia Rodrigo ,Pop/Rock ,"The singer/songwriter exits her teens by honing her soul-baring ballads and spiky pop-punk manifestos with confidence, humor, and bravery.  - Heather Phares",https://www.allmusic.com/album/guts-mw0004033993
Bluegrass ,Willie Nelson ,Country ,"With the help of some bluegrass heavy hitters, Willie Nelson reinterprets several of his classic songs as bluegrass.  - Stephen Thomas Erlewine",https://www.allmusic.com/album/bluegrass-mw0004029185
Sorry I Haven't Called ,Vagabon ,Pop/Rock ,Singer/songwriter Laetitia Tamko continues incorporating dance and pop influences on her third album.  - Paul Simpson,https://www.allmusic.com/album/sorry-i-havent-called-mw0004030882
Black Rainbows ,Corinne Bailey Rae ,Pop/Rock ,"Swinging from punk to jazz to house, a daring if natural artistic departure that developed from an artist residency at Chicago's Stony Island Arts Bank.  - Andy Kellman",https://www.allmusic.com/album/black-rainbows-mw0004027026
Perennial ,Woods ,Pop/Rock ,"Building from a foundation of dreamy loops, this ever-evolving indie folk act turn in some of their most ornate production and ambitious songwriting to date.  - Fred Thomas",https://www.allmusic.com/album/perennial-mw0004035037
Old Soul ,Stephen Marley ,"R&B, Reggae, Pop/Rock, Rap ","The fifth solo album from the storied reggae artist explores mellow acoustic styles while enlisting help from Jack Johnson, Bob Weir, and others.  - Fred Thomas",https://www.allmusic.com/album/old-soul-mw0004086437
The Devil Always Collects ,Brian Setzer ,Pop/Rock ,"The veteran guitarist and songwriter returns with a dynamic, beautifully recorded set of swaggering rockabilly, jump blues, and roots rock.  - Thom Jurek",https://www.allmusic.com/album/the-devil-always-collects-mw0004047938
